52
4 3 2
1 2 1 1
2 3 5 5
3 4 10 1000000000
4 4 3
1 2 1 10
2 3 1 1
3 4 1 1
1 3 2 2
5 10 3
1 2 38 38
1 3 23 956
1 4 85 137
1 5 35 35
2 3 30 952
2 4 24 565
2 5 17 679
3 4 48 48
3 5 24 474
4 5 65 932
6 6 4
1 2 1 1
1 3 1 1
1 4 1 1
1 5 1 1
1 6 1 1
2 3 1 1000000000
7 12 2
1 2 999999937 999999937
2 3 999999937 999999937
3 4 999999937 999999937
4 5 908922735 920795860
5 6 84961229 939248310
6 7 363615805 838857234
2 6 474805665 914813770
4 7 981117754 981117754
5 7 875232034 889040007
1 3 923052387 945304292
3 6 435901277 435901277
1 5 857632849 857632849
10 14 5
1 2 645925431 709813546
2 3 650693557 784444085
3 4 542918638 816198312
4 5 739520822 770126745
5 6 793544476 948412100
6 7 46949005 503242295
7 8 103727736 103727736
8 9 566646419 948821815
9 10 799825814 799825814
1 10 992791115 993778318
5 10 314368364 579405102
6 9 343356692 967032192
1 8 791248326 825739870
1 6 170565945 788558967
8 28 3
1 2 928944734 940541130
2 3 282279886 821108346
3 4 430652671 430652671
4 5 293498709 999060343
5 6 909176308 909176308
6 7 760318530 760318530
7 8 51824947 455397923
3 8 340957842 737507944
2 8 174585193 638822935
6 8 439220714 581417738
1 4 672129177 933430089
3 5 724021984 894496326
1 3 249088203 557209411
1 8 41835799 993844656
2 6 276260098 800146261
5 8 806114766 831594546
5 7 936345386 969129065
2 7 766476092 886393423
2 4 37702791 37702791
4 8 256642299 794246052
4 7 302246014 548278030
4 6 149026495 149026495
3 6 240100011 638259146
1 5 631567839 631567839
1 6 240385796 240385796
2 5 905666741 923624822
3 7 308384162 785572772
1 7 494463295 494463295
12 11 8
1 2 882970089 964563826
2 3 140377945 833570366
3 4 380629517 397499427
4 5 485408331 618038720
5 6 345827605 486356057
6 7 219291913 219291913
7 8 45525971 45525971
8 9 645412651 710122374
9 10 13514697 13514697
10 11 577233505 998255935
11 12 237281208 707337251
9 30 6
1 2 815028513 908536151
2 3 194074393 928064222
3 4 123797420 123797420
4 5 412393585 923053280
5 6 443217352 851069302
6 7 181094756 306917647
7 8 282696469 323096609
8 9 502530275 737635620
7 9 992399124 992399124
5 8 712808018 712808018
1 8 123168176 258947851
3 7 187095347 187095347
3 5 708218401 938407771
2 9 297915740 351968278
5 7 428021255 891542385
1 5 761487705 985984771
1 4 444569846 700218208
4 9 572040850 783337103
4 7 432513117 983802424
1 7 101352353 431066633
5 9 806041943 817804091
1 9 648475974 648475974
3 9 419825977 951242166
3 8 288788913 462446615
4 8 804111446 900067358
2 6 450305652 906386100
1 3 516167820 863230807
6 8 748176992 748176992
2 5 866914664 866914664
4 6 26235327 702837955
10 24 5
1 2 847383874 847383874
2 3 253005110 253005110
3 4 526997518 566133751
4 5 564350460 990343565
5 6 439832966 439832966
6 7 593869517 988052287
7 8 934819330 934819330
8 9 85907640 885350618
9 10 368401040 368401040
3 5 157385198 880706183
2 7 702796254 995900299
1 9 693120222 983165015
4 7 599267227 599267227
1 7 416401468 416401468
2 9 2959900 2959900
1 10 905939128 937096406
4 10 621868723 858675404
3 6 364568816 758729293
2 10 912501632 917414166
7 10 391418922 748449566
4 6 236660522 942822481
6 10 867502182 996588387
1 5 698237236 965243401
3 9 94595190 477069918
20 72 11
1 2 859222339 859222339
2 3 20173527 494743834
3 4 31323441 859188829
4 5 421645671 487442386
5 6 314285144 580481271
6 7 432627727 841997021
7 8 311313779 920979659
8 9 291808565 291808565
9 10 915395633 915395633
10 11 17737253 17737253
11 12 760135259 905427455
12 13 603293627 735976773
13 14 581039145 968817557
14 15 816036858 819899359
15 16 107610629 107610629
16 17 479510253 517606960
17 18 556133318 852756171
18 19 321371277 846286243
19 20 426427905 870342872
4 20 620467068 620467068
2 12 545394391 622648025
1 4 857407855 889216063
3 20 159909890 531960542
4 16 471468719 471468719
4 12 676903332 807615972
1 3 82540075 459805053
2 17 603259325 932925559
3 15 154816411 154816411
12 18 379756455 659108899
1 8 307211022 307211022
11 14 518849310 518849310
9 19 487522760 591019365
2 4 737108147 804603676
4 17 46664174 783429217
3 6 325091252 489860895
6 13 379292516 944933457
6 16 917183577 917183577
7 13 120663430 567011439
3 19 504317181 575261602
6 15 963634771 977098297
10 14 380934957 834970405
4 15 516958262 516958262
5 19 903553894 952998302
16 18 990444842 990452142
5 15 326883071 326883071
7 17 248718439 248718439
10 19 100935343 570575905
2 20 120024592 240532328
9 15 341376324 341376324
4 11 346292519 346292519
1 16 781737179 889320169
2 18 313493073 313493073
8 15 9727533 9727533
15 19 589101603 924999359
12 16 315418365 705867475
9 11 172004958 172004958
4 8 411636838 481692865
8 10 821196065 982273617
8 16 944656407 961995170
6 20 72462455 72462455
1 10 339454677 352043577
3 16 85614400 557090651
10 12 478421762 493078012
8 17 331194201 347156404
2 19 637322779 637322779
5 12 994244297 994244297
10 13 356430355 570763471
9 14 735750994 808584873
9 17 298626779 363036030
5 7 52495106 52495106
8 11 884521202 902464774
12 20 862655837 999575281
