8
10 22 7
1 2 410888199 536669623
2 3 742453115 742453115
3 4 226646474 575677092
4 5 817727978 867172839
5 6 343925631 556924527
6 7 126150386 876791394
7 8 648071129 784209292
8 9 388756157 388756157
9 10 56657026 527571958
1 4 403621580 403621580
3 10 37908085 502579723
5 8 824324578 830611348
4 9 661993583 790648795
4 7 11973920 11973920
3 8 580067383 649300160
4 6 869365057 931984994
1 7 834688914 834688914
1 8 683201161 807268599
5 10 877101620 899020451
1 10 77128154 664408894
7 10 514520772 792458288
5 7 19530332 330466836
10 28 2
1 2 576762650 613666456
2 3 148580021 746843801
3 4 835020472 942097378
4 5 964319523 998967961
5 6 395134356 486276363
6 7 361030035 361030035
7 8 932806247 932806247
8 9 856317843 936162447
9 10 15130498 755192067
6 9 48275413 48275413
3 8 558239400 955921312
7 9 370919610 851392831
2 8 219977910 529392544
2 5 621515812 621515812
2 4 107678157 433233310
4 8 915610439 987881441
4 9 260502354 445295172
4 10 774546083 986628613
1 3 114353490 351786061
2 6 128212657 128212657
5 7 573916403 573916403
2 7 339407925 339407925
6 8 780881652 908515896
1 6 809646463 846002298
3 5 926826709 963947379
1 9 371901079 640932944
1 4 111881962 111881962
5 9 683712654 683712654
5 8 4
1 2 25631581 25631581
2 3 117666826 689402105
3 4 422146799 755458757
4 5 613818415 819835171
1 3 399702827 399702827
3 5 945625161 978120221
2 4 210879528 210879528
1 5 277712172 554770925
100 354 64
1 2 150421158 565709230
2 3 327239086 377200729
3 4 434556399 740640474
4 5 425988429 561195989
5 6 298030032 298030032
6 7 529214941 823719233
7 8 857018113 869224616
8 9 958695524 968322170
9 10 91472458 825719687
10 11 151312016 244413522
11 12 98858735 386096385
12 13 94085631 373176348
13 14 956509163 974808637
14 15 898890978 972307944
15 16 59281369 59281369
16 17 261905576 962199107
17 18 79579414 79579414
18 19 487747394 845827839
19 20 268077307 271977414
20 21 571382236 921847646
21 22 405871667 817872411
22 23 222319332 222319332
23 24 199013453 199013453
24 25 959264730 959264730
25 26 658471493 667255134
26 27 375458376 492595115
27 28 659180786 812696443
28 29 92615054 92615054
29 30 198496290 701291967
30 31 190565270 826468308
31 32 144681140 433963930
32 33 928206302 928206302
33 34 198842064 806040379
34 35 215314573 215314573
35 36 582264746 701322174
36 37 190579777 653739612
37 38 957137630 957137630
38 39 345167522 345167522
39 40 77983595 135116511
40 41 585728672 585728672
41 42 115923449 115923449
42 43 694554371 922536328
43 44 38709498 300319324
44 45 708054869 952227347
45 46 610336870 703928496
46 47 283152006 283152006
47 48 906190754 989677499
48 49 648126902 648126902
49 50 240912858 533979355
50 51 531044627 531044627
51 52 53469156 306690582
52 53 372953322 372953322
53 54 730879345 876154725
54 55 979712707 980710862
55 56 746503752 796252341
56 57 30428213 428610534
57 58 631351157 631351157
58 59 829907240 976387722
59 60 290874485 290874485
60 61 211387977 351574816
61 62 569257527 704570015
62 63 674024476 674024476
63 64 341849073 560512829
64 65 952308291 987571246
65 66 227476045 923661218
66 67 658147461 658147461
67 68 60750404 965096104
68 69 821562997 953648645
69 70 728906988 802455717
70 71 767209534 905678726
71 72 933812265 933812265
72 73 946469170 980080055
73 74 895442681 895442681
74 75 109767710 109767710
75 76 747967884 747967884
76 77 500024524 500024524
77 78 205955595 601305797
78 79 459434018 459434018
79 80 72485449 194860998
80 81 100831805 591113149
81 82 555976522 759021742
82 83 577651315 640946836
83 84 199579102 741110564
84 85 31974681 98111579
85 86 339375132 910566990
86 87 675976814 675976814
87 88 794982603 960792620
88 89 916989857 980095351
89 90 778663166 778663166
90 91 187561111 187561111
91 92 693754831 794033902
92 93 950584604 950584604
93 94 946432764 946432764
94 95 288615723 592310953
95 96 759814784 973544335
96 97 312536879 312536879
97 98 901972494 975825217
98 99 806601894 834454131
99 100 915143763 915143763
75 83 844420098 909525222
39 85 530894811 716053508
7 69 562083995 833399207
52 100 621257592 967975343
42 95 405358415 519967734
9 83 932762051 964199202
1 80 630235894 879404167
10 87 364584752 908391774
1 53 337986808 481879564
90 97 136952677 481883187
19 22 148713240 679122501
53 56 431217519 823447922
79 84 489093335 800079924
36 55 800881570 837380409
8 52 144633546 144633546
7 10 438400763 590426298
13 86 843758089 895929591
32 89 738804750 785550811
7 87 481649915 700517639
28 55 835040372 930374527
5 58 789692784 802156818
31 84 731158818 731158818
26 48 116193660 979660726
8 77 285161987 285161987
3 84 343451441 924615854
31 58 995670922 997841558
47 94 926071114 966900325
59 77 704843754 704843754
50 85 398633775 398633775
32 48 860591075 860591075
27 89 594523474 695156545
68 87 655691783 655691783
76 92 121364715 953112624
40 63 764789688 931134481
61 67 434986256 877376182
31 34 86774973 547240424
58 87 744787641 831296279
60 73 686594934 757444237
1 20 948671987 948671987
68 74 28460397 28460397
11 69 537711797 572099366
62 100 559234683 629856971
28 91 966357049 966357049
2 39 175516196 224421210
44 84 514889515 514889515
42 62 58993990 58993990
15 59 641532712 704342180
26 45 524558982 712850880
9 90 652621239 652621239
57 90 744369164 985093498
76 89 230999321 497157917
8 31 510781514 886387148
16 75 405486912 423620246
25 47 519042586 750570401
20 79 981215833 986963492
11 27 406663291 406663291
39 83 246227403 697250504
64 78 892752653 990752811
72 93 289812601 813528445
53 59 827647102 827647102
9 56 403487376 845794995
22 49 375562100 762539886
43 49 174715001 234953954
1 25 920916492 920916492
31 41 337337965 337337965
45 97 330499862 529305076
19 38 983513513 999290101
50 89 575492986 623629816
