200000 29342
A 174847 174848
B 170282 77341
A 168396 96056
B 1396 105963
A 51161 108057
A 1267 1268
A 1 8879
B 37914 190054
B 136743 104799
A 83151 161072
B 1 181448
B 196355 7694
B 200000 20682
A 149650 149651
B 200000 38314
A 79354 14110
B 162714 140211
B 13873 13874
A 1 160684
A 139577 139578
A 15229 191510
A 55606 153902
A 1 106661
A 71908 123390
A 166746 166747
B 200000 151326
A 56251 143005
B 23852 197793
A 199803 18098
A 131001 131002
A 154298 154299
A 198636 116586
B 75174 75175
A 44679 44680
B 199175 199176
A 190288 122925
A 168257 191384
A 200000 180476
B 200000 63168
A 1 4504
A 143246 143247
B 1 199999
A 118524 118525
B 178858 160624
A 1 169325
B 1 198894
A 88662 88663
A 189513 189514
B 40099 166610
B 170341 170342
B 144462 195388
A 84817 84818
B 1 187067
A 166237 172592
A 78035 55834
B 175211 197825
A 26694 26695
A 1 90841
A 51788 51789
A 21846 28113
A 44031 126985
B 115884 115885
B 154271 184093
B 177228 177229
B 162921 162922
B 188926 188927
B 56581 132769
B 101191 101192
B 81195 81196
B 200000 146678
A 145713 145714
A 89995 105189
B 74781 140596
A 119279 119280
A 131475 122099
B 174057 174058
A 68831 3507
A 111534 22822
A 60153 60154
B 52929 52930
A 99584 99585
B 200000 83851
B 1 15771
A 41451 169179
A 1 149141
A 25900 17453
B 200000 81810
B 134456 5686
A 1 173206
B 19767 19768
A 200000 107151
A 49647 49648
B 141418 141419
B 200000 146012
A 146647 4452
A 170793 72464
A 198094 13392
A 139740 85229
B 95490 95491
B 142059 142060
A 106176 106177
B 163700 36619
B 200000 192811
B 172068 79932
B 136435 5766
A 88310 40451
A 52982 52983
A 87988 105277
A 191361 191362
A 200000 105940
A 33112 73168
B 44671 44672
B 34121 34122
A 164634 164635
B 41614 41615
A 111300 8033
A 74605 74606
A 166302 166303
A 200000 61070
B 155373 33525
A 109932 109933
A 154743 152712
B 1 164501
B 125905 125906
A 200000 155048
B 152538 152539
A 89524 742
A 164399 164400
B 112366 112367
A 20637 20638
B 33690 155467
A 80817 176489
A 183006 183007
A 129581 23555
B 192972 192973
B 135371 32217
B 150675 199456
B 106734 106735
A 80704 80705
B 36919 36920
A 42303 42304
A 1 188541
B 175617 143962
B 1 18271
A 11259 133400
A 95360 175057
B 102264 102265
B 132801 154737
A 85525 85526
A 120351 120352
A 74414 194116
A 111893 111894
A 160985 160986
A 193674 39618
B 159693 159694
A 68609 68610
B 131910 118865
A 39302 39303
A 148005 186043
A 192320 192321
B 26563 26564
B 17207 17208
B 1 177565
B 166219 115851
A 131324 131325
A 159783 159784
A 45998 45999
A 146374 146375
A 121970 121971
B 166002 166003
A 196094 196095
A 1 83068
A 120431 176090
B 199999 200000
B 176674 176675
A 61082 35182
A 131411 131412
A 174030 44953
A 44028 147708
B 1 3
B 3737 3738
A 152276 76330
B 170400 35360
B 20955 28954
A 131380 131381
A 115569 47432
B 151756 151757
B 152533 176264
B 22067 22068
A 170076 170077
A 41962 132448
A 57469 57470
B 129013 118785
B 70749 53570
B 152466 55473
B 1 199999
A 84936 84937
A 1 95216
A 47404 47405
A 22493 72440
A 83013 83014
A 124292 124293
B 32139 85316
B 200000 27693
B 65551 40130
B 192962 178009
A 37903 37904
B 25978 82741
A 59830 59831
B 200000 5743
B 87355 87356
B 123987 123988
A 182250 22750
B 70583 70584
A 113487 101171
B 49668 49669
A 116027 116028
A 81813 81814
B 14003 14004
A 51716 51717
A 90174 90175
A 68243 113757
A 89153 13210
B 119816 119817
B 46592 166412
B 1135 44189
A 172570 165307
A 60579 77576
A 200000 30732
B 138203 16784
B 143061 143062
B 78079 78080
B 27643 103474
B 174123 174124
A 163830 3379
A 120357 48290
B 1 62805
B 179470 179471
A 200000 156243
A 160093 160094
B 63191 100699
A 192352 150682
B 1 197954
B 168551 168552
B 101015 19921
A 200000 65976
A 88316 41208
A 82624 66382
B 32443 181950
A 143952 143953
A 73387 73388
A 95142 95143
B 65504 65505
A 43876 160636
B 58098 159916
A 142274 142275
B 50565 50566
A 28294 183262
B 87994 134796
B 14324 14325
B 131651 64337
B 1 2
B 23787 23788
A 150297 2925
A 1 11277
B 1 184063
B 94944 17563
B 1 48545
A 41616 120309
B 5581 93116
A 85830 85831
B 146851 155051
A 20030 20031
B 196116 153033
A 200000 60344
A 166090 143421
A 106385 106386
A 196458 196459
A 200000 120066
A 107152 10221
B 105722 38274
B 180247 180248
A 1 158640
B 152310 152311
A 200000 68763
B 170340 37575
B 130813 161996
B 177563 79577
B 200000 178482
B 200000 25539
B 156569 33429
A 172083 98278
A 200000 71975
A 145199 145200
A 73095 73096
B 1 94946
A 1 192267
B 1 171483
B 200000 74930
A 50899 50900
A 150834 159483
A 182246 98232
B 200000 66604
A 424 425
B 185993 185994
A 173302 102932
A 33769 29713
A 200000 39719
A 1 200000
B 141360 29171
A 109337 22266
A 11452 11453
A 184043 184044
B 1 98217
B 12997 12998
B 1 60785
A 131243 131244
A 17584 146825
B 168804 133953
A 197859 124085
B 22342 102224
B 200000 4119
B 35282 33604
B 129037 52336
B 118292 118293
B 103056 126248
A 9250 115415
B 25175 25176
B 194328 194329
A 27706 27707
B 65674 121251
A 151233 80358
A 156213 156214
A 110705 110706
A 154623 192795
A 130265 181244
A 69110 136540
B 200000 17940
A 1 123878
A 10322 10323
B 154535 154536
B 162868 136458
A 27570 67139
B 120785 134798
B 36070 165551
B 68298 68299
A 18328 18329
A 115142 115143
B 85530 85531
B 67148 117666
A 59249 20744
A 86067 160569
A 46257 37026
B 1 17434
A 26834 26835
A 1 163875
B 60591 60592
A 1 36708
A 105374 114268
B 75696 75697
A 1 199999
B 53681 53682
B 74369 74370
A 70832 186984
A 200000 95324
B 1 186101
A 200000 106631
A 150158 150159
B 121166 80802
A 78343 78344
A 42169 42170
A 171800 80934
B 186475 25930
B 12284 122173
B 110396 49572
A 64032 65599
B 23719 23720
B 131437 71827
B 121324 121325
A 151627 195034
B 34434 162153
B 51920 66881
A 120205 120206
A 141698 54045
A 147658 108266
B 72825 72826
A 200000 3497
B 35727 86010
A 25940 125137
A 127585 127586
B 4156 170574
B 76755 18100
B 200000 73516
A 169130 169131
B 200000 92212
A 1 11722
B 178669 20027
B 7122 10058
A 1 44742
A 1 165490
B 128394 128395
A 87180 87181
B 63276 63277
B 111633 111634
B 142378 159051
A 160210 160211
A 27967 45307
B 200000 2631
A 1 63677
A 34067 16465
B 188794 188795
B 30690 120503
A 200000 92111
A 62106 58932
A 151540 3595
A 129127 51089
B 166560 166561
B 84384 103635
A 200000 6279
B 183875 183876
A 134762 134763
A 32157 32158
A 118463 41917
A 192171 192172
A 200000 23042
A 153156 162759
A 192589 192590
B 200000 68470
A 9986 9987
A 137069 147013
B 73399 73400
B 184731 12133
A 93375 61819
B 45342 45343
B 127261 127262
B 166771 166772
A 1 127343
B 145188 188998
A 2 200000
B 104209 4174
B 8564 8565
B 50173 46449
A 132219 132220
B 90469 148886
B 1 46869
A 56659 118037
A 24133 24134
A 136810 136811
A 129894 129895
B 28316 28317
B 1392 1393
B 36242 36243
A 100906 153328
B 1 6474
B 6626 69872
B 193941 144313
B 16011 16012
A 131506 116713
B 98290 98291
A 156449 156450
A 132008 132009
B 113061 192615
B 29095 29096
B 179728 81199
B 88877 192515
B 200000 150201
B 105014 105015
A 161852 48151
B 39723 39724
A 97483 97484
B 91764 97504
A 51651 51652
B 89096 89097
A 153753 102250
B 70331 70332
A 200000 151084
A 94980 134855
B 200000 50899
B 72823 113799
B 109686 109687
B 190525 190526
A 200000 119805
A 176795 176796
A 1 87877
A 82491 82492
B 1 200000
A 177044 177045
A 146929 80505
A 11511 188677
A 177189 177190
B 195851 195852
B 185216 185217
A 39398 39399
A 1 16802
B 154608 154609
B 200000 8244
A 18988 18989
B 103288 103289
A 67134 34034
A 96593 96594
A 2 200000
A 85321 13805
A 43768 43769
A 200000 128371
A 55060 55061
A 198897 198898
A 161203 91134
A 42020 42021
A 40016 7926
B 125473 131837
B 103553 103554
A 132573 132574
B 199946 199947
B 181086 8159
B 141348 141349
A 21145 197428
A 200000 60042
B 167649 167650
A 3 200000
A 77023 10643
B 179350 179351
A 1 167887
B 55632 97092
A 164528 162665
A 1 58575
A 183966 183967
A 166656 166657
A 145633 145634
A 54615 179150
B 118948 118949
A 1 196175
B 200000 187574
B 160974 160975
A 63252 63253
B 1 142415
B 200000 45113
B 64977 64978
A 141257 141258
A 26570 26571
B 138146 20985
A 76202 76203
B 174308 174309
B 79654 128321
A 134246 134247
A 66301 103555
A 47676 73918
A 146591 146592
B 82324 82325
B 159095 159096
B 53939 53940
B 200000 6937
A 8985 8986
A 167142 99358
A 128825 128826
B 170584 170585
B 163755 163756
B 200000 94031
B 158792 158793
B 29818 29819
A 125153 164356
A 177042 177043
B 1 39600
A 155545 155546
A 1 91075
B 1 90330
A 35905 35906
B 34511 30285
B 99614 99615
A 118992 94765
A 139614 139615
A 1 42461
A 126255 126256
A 15435 171703
B 200000 190080
B 1 146724
B 76190 11813
B 120740 81463
A 200000 20208
B 60300 60301
B 200000 168637
A 64464 101889
B 190803 144148
A 170227 170228
B 200000 45176
A 6515 6516
A 86136 86137
A 65626 151909
A 181027 120529
A 200000 84986
B 48778 48779
A 173019 173020
B 60642 60643
B 60439 60440
B 200000 61244
B 178789 4658
A 174152 80216
A 160204 160205
B 196801 145393
A 42577 42578
B 111293 111294
B 102272 9579
A 82988 82989
B 187175 176340
B 94492 123846
B 105263 980
B 49266 150070
B 200000 17412
B 200000 163441
B 200000 36916
B 40028 154612
A 127235 127236
A 38316 38317
B 134288 118087
A 52574 52575
B 57104 142417
A 57652 57653
A 153063 153064
B 69573 69574
B 1 165460
A 43197 43198
B 116555 128811
B 176628 195725
A 200000 70536
B 176309 176310
A 71338 22726
B 200000 66318
A 171402 2746
A 60735 129206
B 127207 14383
B 145386 145387
B 149242 60930
A 178684 187567
B 119285 119286
A 144545 68534
B 47354 46540
A 70771 70772
A 50 105335
B 189122 189123
B 3322 3323
B 132168 132169
B 117516 143967
A 38054 38055
B 3492 3493
A 200000 159120
B 116134 114149
A 106893 106894
B 36880 36881
B 85384 85385
B 158889 158890
A 129571 129572
B 138588 138589
A 147 148
A 78278 110550
B 2 200000
B 200000 185641
A 179296 154129
B 184109 184110
B 181379 181380
B 54463 54464
B 200000 59961
A 55298 55299
B 115469 105498
B 31539 22074
B 11912 189600
B 161897 161898
A 1 159665
A 40753 40754
B 1 75163
A 84220 84221
B 2 200000
A 1 3
A 104418 164589
A 154250 154251
B 145480 145481
A 53565 82245
A 53332 39886
B 31604 31605
A 153683 153684
A 32694 32695
A 145487 145488
A 1 96834
A 51293 51294
A 137209 137210
B 71797 71798
A 1 103693
A 200000 166112
B 176646 176647
A 127093 127094
B 83047 83048
A 49650 22833
A 63628 177933
A 127359 51055
B 52050 52051
A 13473 129183
B 1 42010
B 40041 40042
A 130823 130824
A 153237 52905
A 184452 179177
B 161667 161668
B 193222 41547
A 78278 93256
A 1 41470
A 187981 134876
A 132730 132731
A 174119 143835
B 162688 162689
B 84821 84822
A 1 146366
B 161411 46674
A 162032 11918
B 178304 178305
B 200000 33112
B 120487 120488
A 55081 55082
B 171701 171702
B 123955 183213
A 402 42347
A 92814 77372
A 30341 21733
B 1 97277
B 147544 147545
A 62311 105145
A 1 196800
A 200000 26808
B 136545 136546
B 197591 197592
A 139107 113352
B 7722 81385
B 180065 98778
A 2 3
B 116469 76115
A 114585 114586
B 88123 85292
B 112897 77222
A 139777 66881
B 200000 24965
A 196489 123984
B 111008 111009
B 171717 26282
B 135502 21591
A 79124 79125
A 135007 36930
A 162388 162389
A 63382 63383
B 161759 62910
A 154956 154957
B 73556 73557
A 146099 74120
B 2 200000
A 1 3
B 60361 60362
B 1 140319
A 1 2381
B 44754 126663
A 37416 137953
A 198713 198714
A 199951 186559
B 173164 173165
B 1 117200
A 35412 35413
A 141829 141830
B 95839 95840
A 71832 71833
A 151255 196547
A 200000 146689
A 125156 125157
A 55192 55193
B 145780 299
B 25071 25072
B 15868 15869
A 78327 17268
B 30848 115325
A 182589 179024
B 75099 75100
A 13579 13580
B 1204 1205
A 126115 42554
B 32713 80647
B 1 194127
B 44495 194379
A 16221 16222
B 139819 139820
A 60975 60976
B 116781 71387
B 1 22055
B 200000 168615
B 2 199999
B 1 172093
B 24036 173135
A 169290 171917
B 1 75076
A 165310 139992
A 47062 116421
A 185819 185820
B 1 4069
B 139566 139567
B 177807 177808
B 133503 133504
B 178805 144795
B 33636 84626
B 42133 42134
A 60055 20264
A 108813 108814
B 25009 22821
B 153036 95057
B 35756 189900
A 1422 1423
A 64612 42686
B 142338 94620
B 115013 164876
B 109967 108728
A 135170 135171
B 119495 119496
B 196139 196140
A 129525 129526
B 27667 27668
A 154310 20185
B 99518 64315
B 118355 20924
A 2 199999
A 58781 58782
A 135381 135382
B 177194 177195
A 116335 33131
A 1 158141
A 123398 172742
A 109201 109202
A 117156 118331
B 155313 155314
B 91650 91651
B 63016 18910
B 1 189206
A 169661 169662
B 1 154643
A 200000 39582
B 166359 166360
B 1 2
B 1 126039
A 94161 127156
A 74854 100601
A 200000 166224
A 114622 142159
B 155163 90949
A 1 148654
B 9622 9623
B 8771 8772
A 20102 20103
A 10682 150717
A 75659 83971
B 71367 71368
B 159688 136562
B 82261 40586
B 12519 44031
B 168813 135040
B 41955 41956
A 22861 22862
B 87389 142085
B 55644 140613
B 10341 72703
A 134830 188678
A 155345 155346
B 157373 157374
B 122392 64984
A 9689 86710
A 119456 119457
A 182643 12205
B 1 166398
B 12008 24171
B 101854 81729
A 23023 23024
A 195468 195469
B 30550 30551
B 116578 116579
A 148364 148365
A 169073 169074
A 81222 133619
B 118506 118507
A 51389 51390
A 148863 50808
B 122469 61655
B 1 3
B 153654 19354
A 88861 129461
A 17503 17504
B 109027 109028
A 37271 1210
