399999 181900
B 1 46776
A 339109 353057
A 189915 189916
A 386552 386553
A 39923 39924
A 280869 346916
A 138581 77274
A 54483 370489
A 226154 373325
A 321036 173738
A 37523 37524
A 292466 330641
A 315839 315840
A 123187 78728
B 171209 316176
A 18732 148474
B 316770 316771
A 399999 26316
A 1 362936
A 1 138552
A 202887 202888
B 91265 91266
A 175827 364085
A 399999 13907
A 173334 173335
B 1 166965
A 1 183976
B 246960 246961
A 308051 150495
A 108093 108094
B 399999 208663
B 384309 384310
A 399999 306089
A 340108 340109
A 396250 348599
B 292786 148419
A 194614 291445
B 361214 361215
A 264213 74555
A 1 363611
B 155924 155925
A 40642 40115
A 367822 352285
B 53489 234675
A 1 396810
A 1 75423
A 190894 190895
A 29382 29383
B 152142 152143
B 191376 177715
B 12081 287782
B 321349 271051
B 1 184405
A 154980 154981
B 1 293203
A 318343 318344
A 217718 101006
B 116928 116929
A 211311 211312
A 155693 155694
B 203663 203664
A 293272 293273
B 6089 2024
A 399999 392549
B 9931 9932
B 399999 82548
B 147110 147111
B 164193 77635
B 111373 111374
B 825 826
B 42375 42376
B 111054 141104
A 193122 193123
B 356568 296520
A 98946 16423
A 85046 85047
A 1 399999
A 257376 257377
B 399999 38544
A 197485 306524
B 129495 129496
B 392186 392187
A 205625 205626
A 238588 114262
A 331582 331583
B 1 180601
A 1 90911
A 13899 286899
A 296202 296203
B 65960 267389
A 338069 302000
A 7329 115509
B 79743 93986
A 181495 269992
A 133262 133263
B 283062 283063
B 399999 131113
B 1 202286
B 393524 2882
B 1 61340
A 389068 389069
A 38027 38028
B 41020 41021
A 55262 69641
A 1 266783
B 1 215752
B 399999 378389
B 31320 295485
A 23614 299347
A 268965 399033
A 354204 358311
B 399999 272792
B 236244 395058
A 322116 17142
B 191958 191959
B 36631 360932
A 355685 286776
A 399999 172758
A 4554 4555
B 260186 260187
A 57310 57311
B 57524 195756
A 268825 268826
A 345427 200776
A 58316 58317
A 146339 194418
A 200982 322750
A 90639 347750
B 7993 7994
B 144047 144048
B 209408 209409
B 373884 218772
A 258402 124978
A 399999 290457
A 399999 86066
A 271281 379114
B 1 40215
B 116686 116687
B 6916 242634
B 399999 47698
B 102583 148450
A 1 10990
A 399998 399999
A 225560 225561
A 1 373615
A 298298 298299
A 32110 32111
A 196413 196414
A 343733 206205
B 40014 40015
A 58441 58442
A 45406 77248
B 399999 375221
B 83986 83987
A 314193 235288
B 147350 155772
B 200535 166724
B 3 399999
A 88280 101906
B 225179 397116
B 94641 94642
B 385021 385022
A 1 346238
B 399999 262932
A 93588 93589
B 4308 4309
A 177517 51879
A 238191 364530
B 371774 371775
B 269244 269245
B 53894 53895
A 1 359174
A 140537 5075
B 316857 10139
A 267998 365144
A 385266 385267
A 197689 197690
A 391893 391894
B 1 33102
B 279692 279693
A 170426 219910
B 317545 378876
B 125868 242859
B 210553 394474
B 270753 270754
B 67870 71730
A 263075 263076
A 45819 45820
A 102894 378070
B 77614 77615
B 342866 164013
B 192543 345580
A 266670 214619
A 7990 346923
B 1 248891
B 3 399999
A 2437 2438
B 209069 222493
B 1 275299
B 308827 245320
A 123677 123678
B 275104 275105
A 348252 142601
B 31101 63485
B 197177 197178
B 261407 41107
B 242791 126384
A 399999 335668
A 265104 265105
B 127855 127856
A 305943 305944
B 80945 80946
B 132996 132997
B 359668 359669
B 1 97976
B 268447 268448
A 249970 316286
A 347302 321484
B 1 240414
A 283095 88724
A 259938 259939
B 287096 338623
B 356539 234738
B 134824 123503
B 270363 270364
B 2 399998
A 83019 59264
B 178271 178272
A 65088 65089
B 1 308544
A 163124 163125
A 38699 38700
