400000 61312
B 161946 161947
B 3913 146652
B 78028 78029
B 159869 159870
B 10249 102597
B 271934 248421
B 159085 159086
A 135279 223058
B 143158 304252
A 26830 26831
B 1 183350
B 179879 179880
A 383750 383751
A 354919 354920
A 212661 212662
A 400000 217386
A 103745 103746
B 92370 92371
B 177131 177132
B 324011 63793
A 16959 114525
A 128112 289355
A 349867 206877
B 182631 182632
B 1 208719
A 240267 240268
A 400000 125534
A 143952 173617
A 128715 376370
B 1 353436
A 1 3412
A 72419 72420
B 160127 160128
B 106256 149957
A 87587 334120
B 266826 153198
A 350496 115218
A 329019 165374
B 40415 259633
B 204995 204996
A 1 102857
A 389187 389188
A 235408 63111
B 1 3
B 269654 70429
B 1 49568
B 400000 356890
B 1 54259
A 400000 41951
B 150050 150051
A 156813 156814
B 393955 393956
B 269090 269091
B 344486 286536
B 211140 253510
B 400000 287957
A 400000 12447
B 99646 104112
B 76852 76853
A 61413 163289
B 400000 318300
B 135531 18653
A 380050 205974
B 45026 281016
B 82828 211460
B 1 62735
A 318449 313298
A 355892 355893
A 157657 167616
B 197157 35752
B 154709 192461
A 29884 29885
A 316032 316033
B 105030 105031
B 324 47173
A 175604 169762
B 310052 271397
A 8552 8553
B 370973 370974
B 3746 154830
A 3 399999
B 316954 320109
A 189504 189505
B 107929 107930
B 13093 13094
B 183916 132226
A 174504 174505
B 163595 239001
B 275442 296721
A 196510 296077
A 386395 386396
A 17347 391381
B 181524 181525
A 275065 275066
B 334917 334918
B 299150 166616
A 273066 93132
B 1 167288
A 205273 171365
B 390628 390629
A 313450 313451
B 274859 274860
A 399999 400000
B 217392 217393
A 400000 69615
B 349315 349316
B 139579 139580
A 300831 300832
A 93818 93819
A 321702 321703
B 248110 102590
B 347447 280062
A 13617 13618
B 29332 29333
A 89271 89272
B 1 213248
A 172504 172505
B 167946 102407
A 128563 60403
A 400000 365874
B 400000 382241
A 9244 9245
A 1 400000
A 54043 54044
B 373413 141403
A 1 120826
B 400000 124858
B 79187 79188
B 245050 109665
A 50905 386158
B 400000 378886
A 400000 105311
