133333 44897
B 122123 30336
A 36086 36087
A 75687 75688
A 104692 47114
B 125177 125178
B 22450 109384
A 56672 92020
A 14082 14083
B 49822 49823
A 68592 68593
A 37151 67678
B 1 15519
B 123728 123729
A 133333 127597
B 133333 131548
B 133332 133333
A 133333 82760
A 24376 24377
B 112908 112909
A 1 45437
A 133333 34182
B 124020 124021
B 120509 120510
B 1 36113
A 130140 11653
B 15805 15806
B 9908 118470
B 76849 102258
A 64138 129683
A 133333 100207
A 59268 64178
A 47561 47562
B 64513 64514
B 1 61275
A 84547 52798
B 89562 80006
B 27576 77122
A 95430 65070
B 60997 60998
B 83751 95999
B 128512 128513
B 26736 26737
A 1 68484
A 30281 81538
B 31180 31181
B 133333 127193
B 110217 110218
B 124686 127366
B 18621 58401
A 101035 2590
B 1503 1504
B 9411 9412
A 133333 118305
A 79870 78207
B 81060 81061
A 56729 3321
B 113210 113211
B 133333 58391
A 46690 46691
A 115032 71830
B 132410 132411
B 1 11060
B 117663 119386
B 90763 10445
A 23046 23047
B 20699 20700
B 68168 5165
A 86193 104936
A 43767 64525
B 40809 40810
A 3941 3942
B 113220 113221
A 121153 121154
A 71077 47019
B 4468 2458
A 122240 41866
B 25788 25789
B 1 51198
A 75542 36337
A 95559 17443
A 112894 112895
A 1 28883
B 52964 4927
A 74762 74763
A 97498 97499
A 9457 9458
B 46268 78037
B 3171 132200
B 28942 15141
A 74606 74607
B 77048 95554
A 6695 39195
A 89715 89716
B 111392 111393
A 120387 42042
B 64579 95558
B 7639 7640
B 41777 104332
B 60539 122770
A 7199 7200
B 6869 6870
A 111615 110111
B 1 97647
A 14360 129415
A 3 133333
A 19347 19348
B 13768 65285
B 32472 32473
A 60307 60308
B 131454 54300
B 56508 131332
A 19573 95403
A 63834 52376
A 22560 22561
B 73491 46829
A 23200 20837
B 65842 65843
A 113814 113815
B 1 7322
A 133333 51715
A 98884 45258
A 395 396
B 58190 58191
B 63676 88983
B 95418 16614
B 104996 104997
B 75747 75748
B 133333 21827
A 30363 48478
A 130918 24447
A 39060 39061
B 133333 38765
B 49916 49917
B 116210 116211
A 80547 80548
B 13372 90362
B 16856 16857
A 43590 114671
B 81075 92817
A 106854 18569
A 16368 16369
A 130776 130777
A 14001 14002
B 1 67837
B 50838 69456
A 9005 9006
A 133333 108245
B 5671 79391
A 27097 130241
B 133333 76638
A 43997 26242
A 93648 29058
A 31435 1044
B 117166 124706
A 115992 115993
B 132178 48641
A 94621 45679
A 20204 20205
A 41840 70454
A 73532 73533
A 49397 49398
A 1 21205
B 133333 3194
B 67201 85876
B 66308 66309
A 68043 26098
A 91791 91792
A 42869 42870
B 1 14253
A 51327 108213
B 1 24568
A 20342 20343
A 133333 90995
B 90005 20414
A 2 3
A 102418 102419
A 123913 84546
A 81453 81454
A 133333 5801
A 54002 98483
B 119111 71258
A 27835 27836
B 116533 105948
A 101602 40056
B 113 114
B 34144 34145
A 133333 58271
A 28562 7267
A 133333 18924
A 1 54110
A 126809 126810
A 20651 20652
A 1 2
B 133333 99263
B 97031 97032
B 133333 17383
A 2 133332
B 1 104140
A 1 1397
A 133333 8784
A 111283 50374
A 52774 52775
B 112032 112033
B 27800 27801
A 133333 48842
B 58202 58203
A 133333 120197
B 133333 39950
A 1 106476
B 70957 133169
B 90736 131770
B 133333 56365
B 107785 107786
A 89301 10955
B 1 79735
A 14980 53260
B 122487 122488
A 133333 106210
A 60354 48920
A 64184 69845
A 133333 127843
B 39366 62934
A 92676 92677
A 133333 122054
A 133333 40468
A 17665 17666
A 63335 80682
A 101152 101153
B 91698 104155
B 4254 4255
A 2 133332
B 74022 18749
B 82496 82497
B 48505 105149
B 67649 54835
A 83245 85377
A 133333 100670
A 44053 44054
A 15965 29282
B 133333 61820
B 99984 99985
B 46564 46565
A 65641 45720
B 87549 87550
B 22704 22705
B 84042 84043
A 71372 71373
A 57240 57241
A 132240 132241
B 8742 8743
B 76415 76416
A 118350 118351
A 133332 133333
B 23700 23701
A 59913 76654
B 24867 24868
B 105150 105151
A 115514 115515
B 10737 10738
A 36612 93906
