399998 181436
A 159242 159243
B 110738 110739
A 18211 12029
A 323915 323916
B 184316 130677
B 393772 393773
B 103884 103885
A 14218 14219
A 331189 331190
B 78255 78256
B 219299 219300
B 287298 101473
A 399998 87968
A 178674 178675
A 36327 43887
A 392777 373855
A 175674 175675
B 375672 375673
B 243770 234794
B 399998 340580
A 47393 47394
B 288837 288838
B 242595 242596
A 368136 176697
B 145395 145396
A 302838 208096
B 1 314394
A 207671 207672
A 231412 231413
B 10614 10615
A 142550 94487
B 3 399997
B 65900 73193
A 250248 250249
B 350375 350376
B 183749 183750
A 2 3
B 7762 7763
B 85637 85638
A 249698 249699
A 295376 83460
A 323968 297577
A 317948 317949
A 1 167259
A 116142 116143
B 369056 369057
A 320993 251851
A 146142 146143
B 366165 366166
B 399998 211839
B 5115 5116
B 9665 191440
B 350182 350183
A 47239 161910
A 12542 12543
A 292905 292906
A 9865 84490
A 399998 335529
A 154782 154783
B 222344 42617
B 145272 145273
B 123588 123589
B 54768 240290
B 187802 110348
A 197589 18218
A 380376 303559
B 291122 324835
A 55200 398042
A 29954 63952
A 302462 302463
B 374829 374830
A 77344 77345
B 339109 339110
B 123134 123135
A 200121 184166
B 1 361593
A 2 399998
B 294300 294301
A 151332 151333
B 1 366343
B 280914 345464
A 1 196513
A 103026 103027
B 354702 354703
A 291414 291415
A 248226 213407
B 399998 147410
B 198346 198347
B 1 139290
A 399998 219049
B 220823 34223
A 199780 199781
B 16300 61757
A 154412 159225
A 90713 90714
B 106104 106105
B 42475 42476
B 41950 41951
B 60887 209013
B 273629 273630
A 221133 237719
B 156512 156513
B 203292 390798
A 22029 379389
A 390087 160223
B 46911 46912
B 399998 334637
B 180460 88542
A 40746 127950
B 207044 245483
B 52621 52622
B 226768 325728
A 137094 137095
B 399998 334605
A 78146 115492
A 57703 74081
A 239326 382923
A 211861 211862
B 271564 308763
B 92548 92549
B 256063 256064
B 385616 385617
B 195638 195639
B 1 102800
A 74861 101019
B 175484 148405
A 163693 274748
A 322408 322409
A 119223 119224
A 93756 265381
B 221207 221208
B 238771 27097
B 346619 380783
B 284702 284703
B 203185 339174
B 1 399997
A 175727 181056
B 1 36713
B 78814 78815
A 307012 307013
A 363389 244930
A 52078 52079
A 1 82849
A 264136 331600
A 4229 4230
A 231634 150358
B 127887 127888
B 399998 240635
B 1 208361
B 49098 49099
B 120945 81483
B 181497 181498
B 231172 368093
A 74130 212227
B 310430 83639
A 65575 65576
B 343987 211485
A 25630 25631
B 1 144726
B 399998 332365
A 1 3
A 1 331520
B 198103 71178
A 322730 352216
A 385142 395866
A 83207 394035
A 371742 371743
A 399998 187764
B 241722 62668
B 391263 147065
A 153675 139654
A 399998 389326
