200000 104506
A 30952 161354
B 113614 50019
B 35227 35228
A 189547 189548
B 200000 94082
A 172439 172440
B 185568 185569
B 105692 105693
B 200000 75069
B 165301 89647
B 133482 133483
A 175431 175432
A 47301 47302
B 21545 21546
B 183263 183264
A 48617 48618
A 90902 75554
A 128317 128318
B 1 81157
B 2 199999
A 200000 108433
B 144978 199947
A 200000 47919
A 168256 104069
A 200000 108434
A 47704 88827
B 91036 91037
B 200000 92880
B 1 52073
B 33696 50365
A 46906 46907
B 119066 141007
B 62775 197415
B 4674 115381
A 191051 191052
B 3 200000
B 185166 173125
B 116433 116434
A 1 29311
A 89887 89888
B 200000 137212
A 59382 85536
A 45780 45781
A 145386 145387
B 156366 22611
B 113498 113499
A 171225 82497
A 154643 131482
B 15930 15931
A 183051 20958
A 157341 157342
B 199999 200000
A 48156 48157
B 136899 136900
A 200000 180851
A 200000 149349
A 40406 40407
A 184374 184375
B 17626 136950
B 26552 166245
A 176685 176686
B 97141 97142
A 9836 9837
A 63564 45619
B 200000 198216
B 46845 46846
A 143542 13831
B 1 87415
A 200000 174098
B 192150 99807
A 200000 181065
B 133597 101882
A 8258 22266
A 139937 34923
A 142338 104873
A 151818 151819
A 1 32888
B 110485 99648
A 169921 79163
B 1 173994
B 180817 180818
A 1 102055
B 86362 66593
A 128459 128460
A 80432 80433
A 101466 174336
B 75162 75163
A 104327 145170
A 1 31912
A 166354 166355
B 6544 6545
B 1 70704
A 192166 34701
A 181817 68206
A 181336 181337
B 31600 97793
B 134752 6976
A 103297 133826
B 1 162755
B 200000 132881
B 1 59327
A 1 164239
B 22544 22545
A 1935 187641
B 2893 2894
A 29926 29927
A 80050 141127
B 168044 178309
A 156306 156307
B 64894 190294
B 70701 70702
A 82337 82338
A 179439 9829
A 27041 115911
B 83556 195929
B 69125 54153
B 96939 122430
B 2 3
B 1 138821
B 200000 172424
B 140542 140543
A 192629 192630
A 200000 43709
A 12523 799
B 102107 194456
B 3641 37988
A 119112 31042
A 200000 116587
A 2 199999
B 200000 62688
A 120630 173034
B 22767 22768
A 1 42353
B 98575 191979
A 182698 182699
B 134693 94290
A 156346 42924
A 42321 42322
B 198408 198409
B 13043 13044
A 200000 21001
B 198728 198729
A 52642 195480
A 159708 68254
A 84664 81888
B 114716 38093
A 173156 173157
B 98486 153206
A 80000 80001
B 200000 128838
A 84369 122804
B 108422 108423
A 18093 18094
A 24476 24477
B 34908 34909
A 11168 11169
B 64918 31257
B 1 82330
A 59076 167460
A 101747 10358
B 163692 163693
A 69501 69502
B 172496 172497
B 200000 96053
B 5730 5731
A 200000 50638
A 237 95256
B 5645 19970
B 120990 7863
B 66434 66435
A 47515 47516
B 1 6822
A 179741 42361
B 199999 200000
A 144857 144858
B 125607 125608
B 95476 156676
B 48788 48789
B 42285 93326
A 1 83067
A 19939 27331
A 128770 76943
B 200000 39076
A 140333 140334
B 172813 18309
B 45555 45556
B 92556 5107
B 95103 95104
A 117455 65538
B 1 199999
A 30968 30969
A 115847 156867
A 50809 50810
A 54609 54610
A 177887 69465
A 601 56544
B 163402 163403
B 61132 61133
B 1 2955
B 1 2
B 142514 142515
A 70110 189226
B 114118 114119
B 131116 131117
A 1 191193
A 78456 186324
A 13847 99833
B 107266 107267
B 110155 110156
A 84933 106033
A 200000 173402
A 5723 5724
A 184655 122223
B 131722 68809
A 75371 75372
A 72248 159617
B 92696 92697
B 114117 95356
B 63717 97280
A 50103 91715
A 65699 30985
A 153111 128900
B 22192 22193
A 103481 179351
A 165361 116578
B 49871 49872
B 106834 119595
A 119275 119276
B 54917 54918
B 29559 29560
B 83268 83269
A 116176 116177
B 150617 182214
A 41198 41199
A 142519 142520
B 68608 68609
A 134327 39269
A 175804 27461
A 13739 13740
B 8137 178036
A 110408 70255
B 47830 47831
B 36437 36438
B 143358 143359
A 29349 186341
A 118420 118421
A 32707 32708
A 155822 145843
B 42299 42300
A 50764 50765
A 76945 60985
B 200000 48711
A 199931 89913
A 45499 45500
A 200000 82217
A 57053 41148
A 193683 193684
B 1 107222
B 153193 126705
B 113357 182311
B 120193 120194
B 158216 73406
B 106961 111335
B 34947 105413
B 20116 20117
B 160736 80797
B 37813 37814
A 2111 45172
B 1 154385
B 42776 186699
A 179004 77811
B 193350 193351
B 85658 189584
B 200000 32516
B 200000 69520
B 22215 68438
B 107646 160025
A 97089 46997
A 158174 158175
A 1 25090
B 150207 33727
A 117873 117874
A 116808 116809
B 74670 38147
A 65375 133379
A 1 116495
A 64430 145643
B 153475 153476
B 1 66336
B 168805 168806
A 200000 132058
A 72228 196942
B 149282 149283
B 80189 80190
B 199274 199275
A 30949 98869
A 101305 101306
B 154934 154935
B 195073 195074
B 1 60416
B 84153 65484
A 200000 117296
A 144809 117137
A 16521 156119
B 200000 139736
A 200000 94000
A 34670 65188
A 66597 66598
B 91837 91838
A 24836 146216
A 2215 122744
B 200000 5211
A 193825 193826
A 158082 13936
B 1 26124
A 32209 32210
A 1 7569
A 109792 114708
B 133566 124032
B 1 192023
B 30835 30836
B 143886 58813
B 95732 95733
A 1 93574
B 173082 187062
B 97626 194567
A 1 128294
A 183273 183274
B 146805 82166
A 1896 166
B 200000 89673
A 195714 88546
B 121030 136888
B 100270 100271
B 90162 90163
B 39123 38361
A 99416 99417
B 195522 160885
B 200000 7006
A 152641 152642
A 182314 182315
B 99859 99860
B 150400 69063
A 115344 115345
B 200000 161340
B 200000 37864
B 192882 192883
B 186428 158729
A 71949 71950
B 102284 102285
A 70758 70759
B 135701 135702
A 191668 191669
B 88411 124773
B 139272 173997
A 99875 99876
A 154824 159560
A 30975 30976
B 98186 65691
A 1 151283
A 200000 49147
B 108134 108135
B 22557 42077
A 34375 81334
A 166075 166076
A 200000 52096
B 67281 67282
A 136853 40384
B 200000 140433
A 109083 132706
B 43167 43168
A 184535 7902
B 16972 168182
A 34173 149971
A 153213 88817
A 159536 159537
A 173967 150732
B 3 200000
A 200000 192598
B 1 80486
A 1 198247
B 197124 17058
A 106719 34486
A 84435 44179
A 70343 70344
A 35765 35766
B 1 149211
B 140186 140187
A 1 78252
B 183320 130371
A 200000 131322
A 190163 58668
A 147304 144974
A 200000 45658
B 188713 188714
B 35682 35683
B 40950 86510
B 192223 167855
B 126511 114514
A 132535 132536
B 178521 156037
A 59174 59175
A 128264 147799
B 155094 131142
A 190119 157450
B 71419 154087
A 131526 55965
B 161205 161206
B 62132 13154
A 34381 34382
B 70798 70799
A 11310 11311
A 1 109024
B 19797 19798
B 66079 66080
B 130087 40659
B 133216 133217
A 136639 129640
A 70785 70786
A 20351 20352
A 116870 116871
B 177596 56818
A 1 133278
A 134600 89766
A 114273 114274
B 152089 152090
B 130461 4285
B 93667 53305
A 48283 145353
A 200000 65292
B 55652 55653
B 147359 147360
B 126649 126650
B 148241 197407
A 200000 110310
A 5288 5289
