123
268 3
2 5 8
9 12 15
16 19 22
23 26 29
30 33 36
37 40 43
44 47 50
51 54 57
58 61 64
65 68 71
72 75 78
79 82 85
86 89 92
93 96 99
100 3 6
7 10 13
14 17 20
21 24 27
28 31 34
35 38 41
42 45 48
49 52 55
56 59 62
63 66 69
70 73 76
77 80 83
84 87 90
91 94 97
98 1 4
5 8 11
12 15 18
19 22 25
26 29 32
33 36 39
40 43 46
47 50 53
54 57 60
61 64 67
68 71 74
75 78 81
82 85 88
89 92 95
96 99 2
3 6 9
10 13 16
17 20 23
24 27 30
31 34 37
38 41 44
45 48 51
52 55 58
59 62 65
66 69 72
73 76 79
80 83 86
87 90 93
94 97 100
1 4 7
8 11 14
15 18 21
22 25 28
29 32 35
36 39 42
43 46 49
50 53 56
57 60 63
64 67 70
71 74 77
78 81 84
85 88 91
92 95 98
99 2 5
6 9 12
13 16 19
20 23 26
27 30 33
34 37 40
41 44 47
48 51 54
55 58 61
62 65 68
69 72 75
76 79 82
83 86 89
90 93 96
97 100 3
4 7 10
11 14 17
18 21 24
25 28 31
32 35 38
39 42 45
46 49 52
53 56 59
60 63 66
67 70 73
74 77 80
81 84 87
88 91 94
95 98 1
2 5 8
9 12 15
16 19 22
23 26 29
30 33 36
37 40 43
44 47 50
51 54 57
58 61 64
65 68 71
72 75 78
79 82 85
86 89 92
93 96 99
100 3 6
7 10 13
14 17 20
21 24 27
28 31 34
35 38 41
42 45 48
49 52 55
56 59 62
63 66 69
70 73 76
77 80 83
84 87 90
91 94 97
98 1 4
5 8 11
12 15 18
19 22 25
26 29 32
33 36 39
40 43 46
47 50 53
54 57 60
61 64 67
68 71 74
75 78 81
82 85 88
89 92 95
96 99 2
3 6 9
10 13 16
17 20 23
24 27 30
31 34 37
38 41 44
45 48 51
52 55 58
59 62 65
66 69 72
73 76 79
80 83 86
87 90 93
94 97 100
1 4 7
8 11 14
15 18 21
22 25 28
29 32 35
36 39 42
43 46 49
50 53 56
57 60 63
64 67 70
71 74 77
78 81 84
85 88 91
92 95 98
99 2 5
6 9 12
13 16 19
20 23 26
27 30 33
34 37 40
41 44 47
48 51 54
55 58 61
62 65 68
69 72 75
76 79 82
83 86 89
90 93 96
97 100 3
4 7 10
11 14 17
18 21 24
25 28 31
32 35 38
39 42 45
46 49 52
53 56 59
60 63 66
67 70 73
74 77 80
81 84 87
88 91 94
95 98 1
2 5 8
9 12 15
16 19 22
23 26 29
30 33 36
37 40 43
44 47 50
51 54 57
58 61 64
65 68 71
72 75 78
79 82 85
86 89 92
93 96 99
100 3 6
7 10 13
14 17 20
21 24 27
28 31 34
35 38 41
42 45 48
49 52 55
56 59 62
63 66 69
70 73 76
77 80 83
84 87 90
91 94 97
98 1 4
5 8 11
12 15 18
19 22 25
26 29 32
33 36 39
40 43 46
47 50 53
54 57 60
61 64 67
68 71 74
75 78 81
82 85 88
89 92 95
96 99 2
3 6 9
10 13 16
17 20 23
24 27 30
31 34 37
38 41 44
45 48 51
52 55 58
59 62 65
66 69 72
73 76 79
80 83 86
87 90 93
94 97 100
1 4 7
8 11 14
15 18 21
22 25 28
29 32 35
36 39 42
43 46 49
50 53 56
57 60 63
64 67 70
71 74 77
113 772
100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1 100 1
