15
4 18420
3 8 18
150 150 150
11 5 5
150 134 1
7 3 13
150 150 150
150 150 150
38 51 5
150 64 1
150 47 1
17 11 7
16 14 6
112 148 7
150 59 1
150 94 1
150 150 150
150 77 1
4 9 7
1 12 2
15 17 18
150 85 1
19 8 17
14 19 12
118 136 57
11 18 15
150 150 150
9 3 14
150 24 1
5 3 14
19 1 10
18 27 40
6 6 9
1 18 12
150 86 1
7 15 2
9 17 6
150 29 1
150 148 1
17 17 7
13 101 24
7 9 11
150 97 1
150 55 1
36 21 42
32 96 55
150 92 1
19 14 20
143 21 95
150 21 1
12 14 10
4 1 9
6 14 13
12 2 13
150 150 150
19 15 4
8 141 15
130 74 145
76 91 84
16 6 7
12 15 12
150 150 150
150 150 150
115 130 83
150 150 150
17 18 2
1 7 14
15 9 3
22 57 108
101 6 119
150 150 150
19 20 20
10 6 10
17 2 17
1 20 11
12 19 4
20 9 18
150 150 150
139 80 117
54 101 79
150 44 1
17 18 9
100 35 81
150 14 1
49 129 11
1 19 10
150 150 150
11 5 17
150 150 150
19 14 3
46 113 137
150 150 150
111 100 56
150 150 150
150 150 150
150 150 150
19 17 2
20 20 17
11 8 6
9 4 14
150 150 150
150 150 150
10 4 3
5 13 10
16 1 17
10 6 7
19 17 11
20 9 10
150 49 1
7 11 13
150 150 150
8 5 1
14 15 18
79 62 14
17 15 6
118 136 3
150 150 150
76 44 134
12 17 5
18 14 17
14 14 1
150 150 150
11 1 4
150 150 150
9 11 20
122 76 14
17 11 3
8 19 9
13 11 4
11 15 10
10 18 15
148 76 94
87 100 14
37 103 147
150 66 1
150 150 150
150 150 150
4 4 6
1 5 4
150 134 1
1 20 13
8 5 9
150 150 150
35 96 140
150 150 150
59 3 74
17 10 11
16 110 39
150 150 150
20 20 6
9 1 4
15 8 6
18 1 16
1 14 7
2 5 18
150 105 1
11 18 8
11 7 17
12 61 43
7 8 17
145 59 107
109 39 117
1 11 9
46 137 36
10 4 7
19 6 20
9 7 3
150 75 1
150 150 150
2 1 2
10 10 14
150 150 150
7 6 9
28 90 111
56 70 17
150 150 150
20 7 20
18 17 7
126 62 31
150 150 150
5 7 6
150 150 150
17 7 1
5 10 12
150 150 150
17 8 16
15 1 1
118 1 102
16 9 13
96 68 48
88 79 122
10 12 15
26 72 9
53 105 22
150 135 1
7 11 8
129 87 113
49 129 51
3 15 69
85 128 107
141 122 51
13 70 104
28 101 59
11 8 14
17 15 4
5 9 17
150 150 150
14 7 19
6 16 17
94 127 125
150 150 150
8 8 12
18 94 100
12 17 13
12 12 10
7 11 7
15 9 2
14 12 12
150 150 150
17 4 7
124 143 63
4 10 8
127 38 67
150 150 150
150 58 144
16 10 8
16 13 18
7 1 8
14 6 12
14 2 2
131 109 5
6 14 14
150 141 1
91 76 39
4 20 14
3 126 149
18 12 6
150 27 1
5 3 1
150 150 150
136 13 137
12 19 4
1 2 16
20 11 4
4 31 110
7 2 2
12 13 18
150 63 1
14 14 13
11 7 8
1 2 10
11 6 11
150 118 1
150 9 1
9 2 9
52 39 68
150 150 150
11 11 10
150 83 1
103 143 75
11 9 19
150 150 150
1 33 147
106 78 57
41 4 108
1 12 10
5 5 4
5 4 6
17 16 20
125 77 19
15 15 19
150 73 1
54 106 146
150 150 150
150 150 150
10 2 3
121 132 17
150 150 150
19 9 9
55 86 61
5 10 6
150 150 150
150 101 1
150 13 1
150 19 1
150 49 1
95 42 101
150 150 150
139 98 32
1 16 1
150 150 150
150 150 150
23 14 94
11 8 9
73 69 16
19 6 19
19 6 2
10 15 8
14 8 19
150 150 150
30 89 141
150 150 150
20 5 4
140 47 50
150 132 1
11 1 3
34 3 107
150 78 1
114 58 111
17 7 20
150 150 150
14 106 73
150 34 1
15 13 8
18 17 11
4 20 9
77 33 15
93 4 114
3 13 14
110 84 57
81 119 29
9 96 26
18 15 20
20 19 10
150 150 150
17 8 16
45 57 82
20 15 8
150 54 1
8 10 2
12 13 4
150 131 1
19 11 8
105 132 9
7 11 7
2 11 19
150 150 150
150 150 150
1 11 18
124 82 10
67 36 145
18 3 12
18 7 18
149 26 55
150 150 150
1 1 12
114 150 5
8 19 8
17 14 1
150 150 150
15 17 8
150 150 150
63 35 17
11 3 6
150 150 150
150 139 1
14 18 10
17 17 11
84 62 140
14 8 8
150 42 1
84 93 139
5 16 6
150 150 150
131 110 89
4 5 1
17 17 20
133 90 96
15 8 7
150 150 150
3 8 16
150 150 1
150 150 150
12 20 10
150 9 1
150 150 150
7 17 16
28 18 150
20 9 12
150 150 150
52 126 7
150 149 1
150 150 150
150 43 1
6 18 10
18 1 3
6 7 19
8 20 8
12 15 8
150 50 1
16 16 18
