5000 2500
1 154139 2443
2 53688 991
1 16172 186
2 157600 283
1 146701 876
2 183718 830
1 153389 1665
2 107497 2123
1 100577 1322
2 15012 710
1 191831 1214
2 100731 1505
1 84727 914
2 143129 2085
1 89260 1915
2 132055 1237
1 51002 267
2 139146 2003
1 194996 797
2 88935 2284
1 19632 1492
2 132877 892
1 176906 29
2 92040 1347
1 3746 1142
2 157823 1719
1 75491 660
2 190568 2190
1 26289 1719
2 109644 1160
1 120106 2151
2 169852 1152
1 166615 1291
2 73356 2403
1 92705 1761
2 56920 1539
1 177713 2185
2 28065 1873
1 71346 1492
2 150232 1770
1 150244 106
2 110985 927
1 86156 1590
2 11646 1024
1 35139 2115
2 166485 388
1 5912 1850
2 53327 2204
1 72447 194
2 50887 849
1 21019 1798
2 48728 1532
1 160897 1780
2 84686 319
1 80841 1710
2 145480 1638
1 182976 273
2 93382 268
1 40657 1851
2 78351 2318
1 23892 77
2 198934 1026
1 8867 159
2 4434 2409
1 52368 377
2 199191 704
1 13415 1429
2 4408 1951
1 159577 1306
2 111339 2184
1 23854 2430
2 271 285
1 11125 1966
2 107833 1012
1 170028 1612
2 56885 689
1 71297 1424
2 190071 118
1 176635 355
2 154598 1944
1 121308 536
2 102682 1493
1 40181 1904
2 151581 307
1 20910 1256
2 118818 1072
1 82371 2409
2 160348 1569
1 11545 480
2 167710 2170
1 87631 2094
2 80825 195
1 75741 1830
2 16569 1500
1 148782 1058
2 23872 2402
1 189528 1873
2 69511 330
1 45705 1545
2 119378 1239
1 176948 1225
2 139686 501
1 115004 220
2 183542 849
1 40345 165
2 44009 145
1 192150 15
2 179956 360
1 199107 2335
2 135423 1097
1 197129 568
2 179553 36
1 13774 1063
2 97781 1454
1 162767 1566
2 11551 1031
1 42339 1265
2 79479 1987
1 166419 1759
2 33743 1252
1 72889 1742
2 157087 1324
1 134186 1547
2 44854 1811
1 140567 843
2 173594 1175
1 123701 2373
2 46211 1637
1 16699 1589
2 123085 463
1 156464 1861
2 183752 330
1 96717 2076
2 190421 1682
1 180276 1428
2 22057 2171
1 146608 2147
2 73063 887
1 78874 334
2 40579 931
1 18750 1228
2 65480 1995
1 153145 253
2 22607 1717
1 58803 2118
2 32253 110
1 53232 594
2 37785 571
1 6175 1672
2 9239 2249
1 98015 2410
2 173096 1951
1 162658 2219
2 25340 1075
1 126596 2179
2 100224 1610
1 27840 2264
2 42908 1943
1 52107 1903
2 158144 2471
1 33192 425
2 116100 2137
1 59403 1417
2 61781 231
1 124330 564
2 130397 1844
1 19381 1831
2 111095 59
1 88190 2246
2 173381 868
1 57662 152
2 17810 1268
1 152913 862
2 31909 2208
1 20193 1503
2 97248 441
1 167490 1554
2 9482 1976
1 195524 334
2 89859 614
1 191410 627
2 35745 2083
1 130747 657
2 139615 1587
1 175889 322
2 140501 2267
1 134291 705
2 182860 2104
1 24487 89
2 182145 1138
1 110606 1756
2 170197 2187
1 196394 1656
2 88175 1944
1 123055 1819
2 2802 92
1 192729 1002
2 159573 1118
1 89279 1029
2 191496 2110
1 124890 730
2 142974 1090
1 25261 1924
2 11121 1070
1 178159 1150
2 196388 1653
1 79040 195
2 40237 269
1 114218 617
2 117391 1322
1 25034 2193
2 2330 1027
1 108694 359
2 102767 109
1 68928 906
2 190236 1029
1 21928 877
2 6915 1486
1 56715 1
2 78947 488
1 29749 618
2 79568 1892
1 189429 2187
2 153400 435
1 32913 494
2 101352 2013
1 135603 1277
2 108386 397
1 104748 2083
2 189589 1434
1 172692 1381
2 156943 2421
1 42229 913
2 62929 122
1 101210 1136
2 160491 1762
1 192348 550
2 177278 179
1 74813 2398
2 138658 507
1 82477 24
2 70816 185
1 34058 1290
2 50699 1082
1 122523 568
2 28442 843
1 27379 2480
2 78785 2301
1 74613 1773
2 135548 864
1 128084 1344
2 106945 1815
1 31172 323
2 146608 1835
1 69825 1118
2 189548 586
1 116810 354
2 99254 1035
1 91248 1141
2 75631 2103
1 126213 1079
2 153214 1990
1 58565 1611
2 122071 1977
1 64295 1866
2 90301 2442
1 110954 896
2 18949 2272
1 135356 2210
2 40293 2074
1 15252 668
2 27865 961
1 40059 812
2 45813 2093
1 177626 1258
2 144949 2327
1 56476 2355
2 24242 1344
1 31759 303
2 143265 1041
1 123176 694
2 16712 1488
1 60879 756
2 117828 716
1 24051 1079
2 145535 103
1 108872 1162
2 3960 2003
1 169658 1135
2 39109 349
1 106906 1712
2 2251 1328
1 66107 1787
2 147058 166
1 5225 1626
2 120185 1407
1 56732 357
2 64217 1637
1 7324 1835
2 87203 1068
1 73841 579
2 185684 1638
1 71803 1916
2 157072 84
1 193931 172
2 153294 1252
1 122912 431
2 41455 1002
1 190101 1038
2 55070 1799
1 143053 1742
2 18045 1301
1 138938 502
2 72662 1375
1 68925 292
2 61421 1595
1 85560 2016
2 51009 833
1 25143 176
2 83911 972
1 127788 1498
2 72368 2068
1 125244 767
2 100946 2076
1 129216 1956
2 161489 2111
1 348 2070
2 119494 468
1 157681 973
2 170197 83
1 168078 1206
2 90283 2131
1 148407 2391
2 24505 1255
1 36461 1277
2 56403 1559
1 118044 2355
2 146973 834
1 188145 1262
2 85273 974
1 68447 620
2 150458 1771
1 852 531
2 184215 1373
1 53124 201
2 186545 2071
1 32644 203
2 22990 2199
1 67144 2220
2 125795 1702
1 25561 980
2 80371 685
1 131062 2166
2 22852 1918
1 96540 2023
2 21127 2162
1 38204 1105
2 15280 659
1 176320 438
2 193686 1985
1 107695 1141
2 112928 2188
1 143805 951
2 112449 777
1 95281 2082
2 86966 1522
1 187674 2413
2 156598 600
1 13179 1907
2 16991 1414
1 174775 1484
2 139092 360
1 180667 1563
2 494 2186
1 81574 2040
2 65954 2468
1 176116 2076
2 150770 502
1 129780 820
2 73587 877
1 67574 2410
2 27822 12
1 166200 989
2 101221 882
1 87135 529
2 51895 2463
1 194230 951
2 128031 1125
1 9766 1747
2 178953 1703
1 120120 1721
2 42593 1609
1 9751 2427
2 132725 2147
1 100589 1765
2 44135 2407
1 196022 1221
2 57919 2407
1 86558 186
2 126302 334
1 31651 1689
2 129477 1462
1 132441 1443
2 192106 1364
1 18415 1502
2 108405 1453
1 149478 1367
2 151895 2378
1 185365 2257
2 119832 2440
1 155640 992
2 20828 940
1 84984 6
2 167200 1334
1 52645 1929
2 151576 45
1 127397 1113
2 16161 1140
1 31418 2483
2 146586 2425
1 144530 69
2 5764 468
1 73661 1751
2 109423 1528
1 7671 1689
2 41682 2224
1 114261 1616
2 24471 1734
1 126150 53
2 31805 1938
1 42068 1671
2 64687 62
1 104256 2297
2 143799 1533
1 133139 2444
2 130952 102
1 169982 1524
2 162654 2348
1 61908 848
2 180176 1117
1 71627 668
2 135893 2138
1 60443 985
2 74815 824
1 151884 263
2 97477 411
1 188188 13
2 67405 969
1 11962 1253
2 53602 2242
1 198196 534
2 134139 1093
1 95046 1588
2 134929 1565
1 124739 2353
2 195219 1893
1 114448 1515
2 117406 1747
1 7957 1453
2 176059 439
1 192148 908
2 93540 1148
1 171891 1476
2 31223 666
1 40283 937
2 88727 987
1 174844 2065
2 69914 2406
1 141986 1752
2 157590 1991
1 92370 675
2 77198 2024
1 84765 334
2 178608 263
1 120094 347
2 111845 2347
1 43685 2264
2 169995 1269
1 91507 1441
2 55193 1779
1 167843 2168
2 163059 2247
1 39434 797
2 145789 929
1 119168 981
2 99219 934
1 158789 202
2 45224 1668
1 108981 616
2 171936 310
1 136224 1266
2 7770 1126
1 34317 66
2 32717 102
1 184152 275
2 102994 2461
1 50599 983
2 77504 1064
1 184930 1557
2 7760 2282
1 41480 2152
2 178937 877
1 126395 2306
2 137645 2494
1 38482 2225
2 166107 1273
1 122126 6
2 14132 1564
1 163915 258
2 127190 1999
1 100188 1953
2 77291 543
1 189479 2417
2 118293 538
1 86252 233
2 164447 995
1 27165 602
2 114764 2183
1 144571 770
2 38792 327
1 33521 795
2 40148 294
1 146019 296
2 157599 2349
1 193408 1838
2 183834 1335
1 82641 2063
2 155938 683
1 18525 1820
2 121886 924
1 83666 1676
2 48473 1855
1 27465 2205
2 45582 1360
1 4045 2213
2 100165 2146
1 181084 1116
2 182609 754
1 174291 1634
2 53826 1930
1 153440 1803
2 65879 1023
1 125202 694
2 68377 2345
1 192997 1000
2 144078 544
1 30626 2238
2 73523 1847
1 9751 1032
2 97221 2094
1 109021 2040
2 184382 1409
1 52321 1925
2 83705 528
1 175455 2381
2 3666 2101
1 101175 1562
2 43280 743
1 165649 823
2 6547 952
1 134874 362
2 96164 1565
1 135546 2223
2 88567 486
1 83350 394
2 99152 1240
1 87793 577
2 10589 1673
1 40134 1831
2 146665 2371
1 99240 739
2 89257 1155
1 192425 89
2 117538 532
1 118922 1841
2 159193 1030
1 35742 545
2 83410 2400
1 155983 309
2 160286 93
1 15307 1190
2 371 74
1 170378 718
2 61249 2251
1 141176 887
2 102132 2186
1 46913 214
2 65205 77
1 74151 1147
2 67478 2370
1 56076 1857
2 184875 2287
1 61327 178
2 57602 834
1 71564 2046
2 63681 1586
1 56403 922
2 81557 110
1 53690 1170
2 43500 452
1 180868 753
2 107547 1889
1 59973 1292
2 160542 655
1 164514 1936
2 23527 1971
1 170228 1511
2 43627 853
1 161796 1649
2 94690 1405
1 29149 354
2 33764 53
1 154592 1021
2 14013 2174
1 1992 886
2 36767 353
1 130766 1755
2 40762 2328
1 72930 351
2 125956 702
1 82267 76
2 161881 513
1 137965 1333
2 31591 1669
1 184623 2420
2 44622 1659
1 149123 1042
2 56220 1004
1 192325 2439
2 82400 1589
1 74302 1142
2 138309 700
1 83375 2011
2 187600 660
1 32482 205
2 193846 1310
1 150381 2133
2 59706 1081
1 30336 2181
2 95952 846
1 185037 1970
2 49832 1081
1 188942 2093
2 3134 1795
1 71917 1441
2 143518 2083
1 156286 507
2 119515 50
1 188748 2428
2 82281 1794
1 183592 1849
2 104007 1140
1 128478 1123
2 133818 486
1 61894 1892
2 195671 56
1 104007 189
2 43747 425
1 92847 523
2 176598 1494
1 114153 1057
2 107878 1440
1 194273 1040
2 175277 1900
1 122591 1616
2 49776 1860
1 143184 2150
2 2751 1156
1 110334 1783
2 174339 1152
1 63990 1872
2 168799 1854
1 170538 2164
2 173734 1370
1 55995 687
2 179491 653
1 16222 1442
2 85896 1135
1 109726 1219
2 174196 384
1 159656 1080
2 112031 2118
1 180910 954
2 70803 1088
1 62345 2273
2 98698 240
1 25848 143
2 84999 292
1 36110 1859
2 42442 219
1 94578 2250
2 92277 419
1 47326 2294
2 143380 2179
1 199256 1527
2 96989 1561
1 108198 627
2 80503 1401
1 147566 882
2 119536 2319
1 64752 162
2 168346 1064
1 179284 975
2 156531 1139
1 117806 619
2 159811 1431
1 125412 1603
2 17512 2183
1 27488 1976
2 3117 1061
1 5493 1643
2 113776 1926
1 102446 1551
2 8637 442
1 77940 36
2 133835 1538
1 92417 2246
2 37733 2402
1 157387 646
2 131265 2209
1 77579 67
2 52243 138
1 112733 2453
2 76842 277
1 85041 506
2 189644 1845
1 84404 274
2 66294 655
1 130955 1206
2 82155 2040
1 92495 438
2 123862 1692
1 96728 922
2 35413 2032
1 9298 482
2 36426 622
1 148962 1864
2 46684 1616
1 142662 1204
2 127673 70
1 20301 208
2 98615 298
1 52888 58
2 178418 1379
1 95906 1052
2 183189 1389
1 94191 462
2 16381 2045
1 157752 478
2 136310 1386
1 42652 2132
2 17668 365
1 118471 1062
2 102347 1219
1 133551 1676
2 13289 310
1 101837 2068
2 165955 1790
1 40721 110
2 190327 870
1 63362 1097
2 67204 1297
1 34364 2275
2 158254 2135
1 197936 2202
2 107322 1291
1 111805 1712
2 69695 27
1 45126 1550
2 78391 1393
1 72143 23
2 185211 911
1 74279 2387
2 180114 667
1 73396 1215
2 59770 1728
1 153900 1826
2 64335 1878
1 160873 731
2 167063 257
1 2926 295
2 177244 124
1 126137 1804
2 188140 2131
1 64344 2381
2 77613 1641
1 169412 461
2 51844 2225
1 71569 1237
2 131046 1086
1 161067 1734
2 50044 65
1 69793 709
2 163786 248
1 61445 1119
2 57601 158
1 175013 188
2 18852 486
1 124809 29
2 137460 2483
1 2453 1737
2 27948 607
1 109378 1683
2 63359 629
1 176825 1696
2 36395 2259
1 118776 572
2 198441 2234
1 60040 2379
2 158483 1339
1 128090 2136
2 90864 1592
1 166333 156
2 176374 2476
1 80290 724
2 126507 1059
1 198946 644
2 69203 2078
1 76668 985
2 184741 593
1 49487 864
2 66869 54
1 21973 1983
2 41264 1338
1 191146 693
2 176870 1807
1 83410 1737
2 40192 502
1 99025 1538
2 64928 2499
1 106021 538
2 69844 372
1 99702 675
2 92946 737
1 24057 1462
2 87641 2222
1 151941 1465
2 158886 1535
1 80262 1271
2 121126 143
1 95529 1312
2 57113 1129
1 129615 885
2 106911 1993
1 58636 383
2 51878 929
1 172658 109
2 147403 384
1 18547 778
2 14076 1270
1 150372 770
2 12586 2349
1 34056 1479
2 22453 207
1 180097 2131
2 16283 2399
1 86629 1637
2 172340 1420
1 145289 626
2 86450 2194
1 21602 109
2 181496 1453
1 14980 323
2 87254 1867
1 159649 946
2 75899 2164
1 6912 1538
2 14417 909
1 67237 1291
2 125234 391
1 151320 299
2 171607 1489
1 124028 2302
2 142642 221
1 166066 1293
2 71526 1039
1 71528 1551
2 43208 445
1 134861 1785
2 26337 2111
1 187190 1396
2 162709 867
1 177186 1315
2 173426 2144
1 177795 1365
2 43021 1899
1 87874 166
2 96075 78
1 169222 676
2 117500 25
1 176182 1056
2 154188 2213
1 89558 2312
2 36772 224
1 73926 90
2 144203 2440
1 182506 1946
2 82509 2411
1 57695 1341
2 47858 545
1 33101 807
2 147565 1657
1 131760 2443
2 43949 1037
1 26912 900
2 155235 1739
1 37338 977
2 193507 1711
1 87438 644
2 124888 877
1 107555 1687
2 73248 1813
1 154191 370
2 154002 296
1 113084 2086
2 130640 2358
1 61092 867
2 1521 105
1 131962 1859
2 146711 2148
1 174738 293
2 54622 1589
1 95577 1299
2 153796 2020
1 166910 691
2 180071 1173
1 114226 1524
2 189637 1190
1 26323 326
2 192062 47
1 142985 1624
2 108087 1244
1 63021 1620
2 19248 340
1 183240 71
2 180679 657
1 143368 2468
2 175139 1138
1 133358 369
2 130089 966
1 122318 1261
2 25736 1407
1 113585 2303
2 6615 648
1 52245 1053
2 6565 1374
1 39845 764
2 184108 96
1 43472 1555
2 43329 1794
1 192771 1557
2 16220 2159
1 99 2241
2 161015 1267
1 199894 630
2 182589 548
1 126769 325
2 68729 764
1 961 2155
2 93646 843
1 54913 2430
2 19721 2390
1 76198 1612
2 129235 1501
1 90462 2349
2 121783 1254
1 799 1621
2 387 1282
1 83771 2187
2 87543 2440
1 150768 2168
2 167507 1400
1 184532 103
2 188761 1660
1 40265 1233
2 41419 2353
1 92156 1257
2 95511 1521
1 60276 1719
2 64232 1019
1 176150 868
2 4202 986
1 115486 2445
2 5602 1059
1 144606 1
2 25225 754
1 100958 148
2 195582 408
1 143186 438
2 5460 1920
1 21578 944
2 9144 462
1 178791 1573
2 61131 1803
1 84711 1272
2 114715 262
1 57870 983
2 112395 2455
1 19430 2290
2 198627 885
1 43101 2391
2 124120 1532
1 108563 2391
2 71851 1990
1 170414 2207
2 88795 458
1 13871 260
2 55730 1711
1 147145 2451
2 102601 121
1 56515 2264
2 15300 36
1 175743 1724
2 125244 1156
1 119324 330
2 59298 2199
1 198312 2002
2 174270 2358
1 23744 1319
2 23454 1032
1 143202 1747
2 456 756
1 55646 142
2 37929 262
1 49932 2339
2 37048 2428
1 122592 193
2 16110 292
1 76203 1295
2 173607 2431
1 147539 1888
2 159483 784
1 95877 1874
2 135871 552
1 42574 763
2 56785 2339
1 49011 44
2 86083 1005
1 191185 812
2 188914 391
1 6996 193
2 11904 1481
1 107661 350
2 124972 1875
1 79728 1411
2 170308 842
1 197997 1575
2 160807 2495
1 130582 835
2 127106 2235
1 169476 1126
2 68366 1735
1 155106 47
2 15378 1550
1 152521 2033
2 58529 208
1 147211 229
2 189810 10
1 13543 1021
2 140712 2359
1 108935 950
2 65078 501
1 74235 1769
2 144683 685
1 150041 243
2 84742 1698
1 198660 1180
2 134988 1745
1 90011 2430
2 109300 569
1 44769 248
2 28243 1224
1 113785 560
2 41361 709
1 149694 462
2 155411 643
1 134772 1584
2 72572 2208
1 181795 1461
2 100413 592
1 198490 1792
2 191008 813
1 73340 1352
2 55230 1123
1 132651 2310
2 198978 101
1 135286 1232
2 39993 407
1 35800 918
2 158517 2317
1 164903 442
2 43746 2018
1 136959 2103
2 11972 900
1 154604 1131
2 155184 2030
1 64678 67
2 174088 1419
1 198089 2018
2 190292 1259
1 129206 2240
2 96295 1567
1 72397 1519
2 130661 632
1 115988 1297
2 137978 1219
1 40928 101
2 9155 1817
1 158306 2461
2 41758 553
1 60049 1986
2 8769 693
1 70346 749
2 129928 1323
1 109463 763
2 97483 2484
1 28488 915
2 84963 978
1 122553 26
2 47189 339
1 15858 1313
2 154155 1204
1 69066 2049
2 132294 90
1 100126 233
2 177078 2040
1 1180 1336
2 106571 1867
1 132562 551
2 18017 2170
1 23888 1354
2 93554 376
1 36010 1564
2 17261 120
1 87114 115
2 156373 1333
1 35656 1635
2 12813 2302
1 67148 885
2 99147 695
1 199863 1968
2 114767 216
1 130042 226
2 5869 1098
1 47255 1832
2 15037 360
1 7703 289
2 159611 906
1 148251 1854
2 12985 2276
1 99972 1947
2 120053 469
1 96570 1797
2 97516 2308
1 95162 30
2 104740 2404
1 186944 1146
2 88835 1614
1 21904 1527
2 63229 547
1 55523 2116
2 63460 1798
1 131529 1466
2 171308 865
1 124269 557
2 168984 1533
1 96288 1442
2 168020 2253
1 172593 479
2 101684 1540
1 53293 318
2 170717 290
1 91501 1194
2 147915 2156
1 12252 1033
2 182220 157
1 126015 1939
2 176660 2154
1 145946 1601
2 88168 347
1 41646 1387
2 103681 1827
1 91995 757
2 184752 201
1 29186 2298
2 125515 340
1 122487 2397
2 145307 1119
1 162194 1418
2 107703 1091
1 193265 2276
2 85900 1314
1 99172 452
2 105382 958
1 116729 87
2 56492 824
1 80964 739
2 59118 757
1 163899 2247
2 85761 1169
1 38257 1948
2 4755 325
1 142193 24
2 81328 1569
1 193505 766
2 146734 1118
1 10905 1339
2 57658 521
1 103838 1851
2 139199 316
1 132880 1983
2 2511 14
1 162047 27
2 9149 659
1 104761 1437
2 72886 1720
1 102550 2101
2 112088 2009
1 63295 2375
2 178348 161
1 163867 538
2 55986 476
1 100480 1685
2 85247 317
1 197511 836
2 123089 231
1 125585 1948
2 69908 2053
1 153812 2112
2 80766 369
1 82081 2368
2 174794 962
1 6604 481
2 141591 599
1 133173 2393
2 60158 1244
1 8584 642
2 30734 1353
1 26221 753
2 131588 2395
1 104539 2359
2 104257 328
1 167749 1818
2 83979 830
1 131540 264
2 186728 2236
1 96823 1997
2 56389 1279
1 158659 2241
2 9405 1667
1 49031 2336
2 147313 1412
1 151288 790
2 183556 1075
1 65081 2491
2 3546 910
1 150936 1261
2 49133 1946
1 46946 243
2 66608 913
1 79001 955
2 86019 780
1 166428 1249
2 4143 2028
1 148980 671
2 60057 1024
1 100067 1475
2 167870 1428
1 161683 1136
2 40119 316
1 23557 2295
2 29968 1674
1 39473 1653
2 89767 99
1 128909 1951
2 134641 1522
1 38035 822
2 161431 2385
1 118455 882
2 11897 937
1 145720 708
2 35524 98
1 152752 979
2 47801 1543
1 43046 423
2 56866 1038
1 189539 43
2 85112 15
1 147196 1168
2 22302 1872
1 29840 1832
2 57996 380
1 60928 448
2 26867 2054
1 14247 448
2 78943 1362
1 139888 956
2 76138 831
1 33453 1072
2 106102 716
1 60536 709
2 27226 744
1 9964 189
2 196976 1228
1 76509 673
2 125065 2482
1 57234 457
2 77066 1755
1 96565 1429
2 271 1352
1 115164 1029
2 35217 1814
1 9891 745
2 6419 758
1 109575 193
2 124675 1797
1 185012 2359
2 148864 2330
1 112327 1069
2 169688 1585
1 47519 1742
2 90392 2465
1 87908 2312
2 102183 96
1 95306 681
2 12615 1502
1 154647 939
2 64784 583
1 148221 1570
2 132877 778
1 61518 1101
2 137287 1021
1 89705 2016
2 15712 229
1 184649 2196
2 156622 283
1 196405 2237
2 64355 512
1 44421 1364
2 132735 873
1 15800 1415
2 25902 2473
1 27606 1087
2 145372 1352
1 41697 752
2 6834 787
1 114942 926
2 169377 1182
1 62109 431
2 148045 549
1 160094 1343
2 144903 349
1 129983 2312
2 21867 2182
1 92372 1940
2 3985 125
1 76157 282
2 123797 2284
1 61758 1939
2 19247 2196
1 94597 748
2 80343 667
1 38273 797
2 140699 1965
1 168039 284
2 185509 412
1 135886 2222
2 38425 1677
1 116459 1721
2 266 2411
1 74939 444
2 6270 697
1 60104 1315
2 58072 1661
1 195703 2480
2 104886 644
1 99114 567
2 120403 1414
1 149340 1626
2 12235 752
1 145320 1958
2 115037 2004
1 154833 1119
2 77710 1943
1 15905 1166
2 177031 942
1 50207 1164
2 19208 1228
1 173467 2350
2 43915 1220
1 57294 1645
2 168555 770
1 34917 122
2 181636 1462
1 89381 246
2 165604 2261
1 171690 427
2 32772 54
1 143055 436
2 92627 1771
1 21589 1293
2 79067 1668
1 120833 1831
2 57734 1421
1 193800 197
2 157789 2361
1 46111 1884
2 78467 1738
1 160930 1860
2 160859 1037
