3
3 769
5113311 418 67
100000000 100000000 100000000
25229 46129 69462
508085 849770 494840
0 0 100000000
97 0 0
100000000 0 0
9258283 57981825 69062323
59290955 8046366 76762455
57216501 59736263 88066691
11086681 20845371 80506710
21451417 68384823 54030307
46243665 33457653 76317837
10445196 51040954 824058
41272896 98494129 80677822
48147689 20830659 47593270
0 100000000 0
22 100000000 0
0 0 100000000
0 47 56
98 100000000 8
100000000 100000000 100000000
6 93 23
100000000 3 38
47 100000000 100000000
31372742 93163760 50624217
35097936 87220053 12493679
34307851 27328212 25795362
89560518 78664333 77184658
80877213 68389528 3713227
60894215 92398518 55155142
47518874 75685443 18825342
42439806 79167045 19103449
46479160 12933872 75883004
100000000 0 2
2 30 0
96 0 0
100000000 0 100000000
0 0 100000000
100000000 30 20
100000000 0 0
66 0 100000000
0 14 32
75239869 16907914 27921931
35234764 24846388 59257499
89622559 70661415 97492018
10781785 56603278 4371853
56502602 4881409 73597383
18855616 31913309 50912227
100000000 0 0
69 0 100000000
62 1 0
100000000 917 926
74266 42415 91271
566947 836472 769957
100000000 0 0
100000000 100000000 47
14 15 100000000
100000000 0 16
100000000 100000000 0
100000000 27 95
29 100000000 45
37 0 100000000
0 0 0
100000000 73 29
100000000 0 0
98 92 100000000
11564009 67806832 60911065
16783273 19768045 1781093
18223012 90708189 76071856
0 0 0
0 0 0
0 0 0
28351867 33773772 20476142
7742145 86315225 80453466
88019801 19880518 33306293
0 0 12
83 0 20
76 100000000 28
31856775 43438257 95496867
93969527 17672412 74931441
66071845 52037766 60612224
49032203 33203782 64443812
23117565 92368251 36572511
51989496 87505106 91025629
14643454 37449295 98914700
41616618 28531891 1762081
67911479 71474380 12292033
7 0 100000000
100000000 36 100000000
97 100000000 88
65789015 66865668 91922859
8837856 20865564 79135578
22937445 2144341 67844451
100000000 707 218
100000000 68914 19928
479084 352093 127633
93101331 14535563 82295884
45859624 79630707 36575097
79492981 75191961 54355629
100000000 27 100000000
0 0 100000000
0 27 14
100000000 52 75
0 44 0
100000000 52 68
44 100000000 100000000
78972 100000000 52743
776310 274063 945669
87430257 39519567 98695343
84336779 52378818 13745036
28904608 47661738 6447634
100000000 2 100000000
0 100000000 100000000
100000000 0 0
78021396 39546169 48761507
3163200 16657408 25964904
65362817 37871558 44747818
100000000 100000000 100000000
0 22 47
100000000 0 100000000
555 941 270
56780 72775 29828
492343 79303 422190
0 0 0
0 0 0
0 0 0
406 100000000 96
100000000 100000000 27802
547967 117364 702547
469 380 100000000
91672 56752 69688
322267 843791 681949
26026341 71791372 60513201
21963159 98102286 70127452
56099729 34658042 1556784
0 0 0
0 0 0
0 0 0
0 90 100000000
96 0 27
100000000 100000000 100000000
7003133 64662003 56854784
35582005 11022140 48306363
55239891 87851404 18993881
83997649 89168756 68029711
61568565 70406443 43794411
65064555 82440698 232241
94408224 86459332 18756420
6576316 8336365 47572480
77173809 20322820 4578489
0 88 0
0 100000000 30
100000000 0 3
0 100000000 100000000
35 40 100000000
0 100000000 3
100000000 100000000 100000000
0 100000000 0
0 58 100000000
26978103 12428340 32480246
58094053 80456190 74346987
93938888 41490023 73092773
69 0 0
100000000 54 39
36 29 0
100000000 100000000 100000000
79080 100000000 100000000
221012 918897 503395
0 14 11
100000000 100000000 83
0 100000000 0
0 0 0
0 0 0
0 0 0
30458495 68384703 15075934
63305704 80729665 54626914
61547922 70196186 8657195
91068532 19937295 78470635
96915165 20587895 15897613
91017389 86361581 25222031
45985884 6085669 30105044
52739030 88651368 77017361
26019863 2959919 49049321
100000000 152 234
34698 76742 71685
769802 357529 917055
0 0 0
